modelId,params_B,size_GB
Qwen/Qwen3-4B-Base,4.0,7.49
Qwen/Qwen3-8B,8.2,15.26
Qwen/Qwen3-8B-Base,8.2,15.26
meta-llama/Llama-3.2-1B,1.2,2.30
Qwen/Qwen3-1.7B,2.0,3.78
openai/gpt-oss-20b,21.5,38.44
AIDC-AI/Ovis2-4B,4.6,8.60
google-t5/t5-3b,2.9,21.25
Qwen/Qwen3-4B,4.0,7.49
Qwen/Qwen2.5-7B,7.6,14.19
google/gemma-2-2b,2.6,9.74
microsoft/phi-2,2.8,5.18
meta-llama/Llama-3.1-8B,8.0,14.96
HuggingFaceTB/SmolLM3-3B,3.1,5.73
Qwen/Qwen3-32B-AWQ,5.7,18.00
meta-llama/Llama-2-7b-hf,6.7,25.10
Qwen/Qwen3-14B,14.8,27.51
microsoft/phi-4,14.7,27.31
meta-llama/Meta-Llama-3-8B,8.0,14.96
mistralai/Mistral-7B-v0.1,7.2,27.47
AIDC-AI/Ovis2-1B,1.3,2.36
Qwen/Qwen2.5-1.5B,1.5,2.88
Qwen/Qwen3-Embedding-8B,7.6,14.10
bigcode/starcoderbase-1b,1.1,8.47
meta-llama/Llama-Guard-3-8B,8.0,14.96
meta-llama/Llama-3.2-3B,3.2,5.98
bigcode/starcoder2-3b,3.0,11.29
Qwen/Qwen2.5-14B,14.8,27.51
google/gemma-2b,2.5,14.01
Qwen/Qwen2.5-3B,3.1,5.75
ibm-research/PowerMoE-3b,3.4,12.57
Qwen/Qwen3-Embedding-4B,4.0,7.49
Qwen/Qwen2.5-Coder-1.5B,1.5,2.88
EleutherAI/gpt-neo-1.3B,1.4,9.90
Qwen/Qwen2.5-Math-1.5B,1.5,2.88
HuggingFaceTB/SmolLM-1.7B,1.7,6.38
Qwen/Qwen3-1.7B-Base,1.7,3.20
google/gemma-7b,8.5,47.72
vikhyatk/moondream2,1.9,3.59
microsoft/phi-1_5,1.4,2.64
Qwen/Qwen2.5-Math-7B,7.6,14.19
Qwen/Qwen2-1.5B,1.5,2.88
numind/NuExtract-1.5,3.8,7.12
Qwen/Qwen3-14B-AWQ,3.3,9.29
DAMO-NLP-SG/VideoLLaMA3-7B,8.0,14.98
unsloth/phi-4,14.7,27.31
Qwen/Qwen1.5-7B,7.7,14.38
tiiuae/falcon-7b,7.2,26.89
AIDC-AI/Ovis2-8B,8.9,16.64
google/gemma-2-9b,9.2,34.43
Qwen/Qwen3-14B-Base,14.8,27.51
huggyllama/llama-7b,6.7,25.10
AIDC-AI/Ovis2-16B,16.2,30.16
meta-llama/Llama-2-13b-hf,13.0,48.49
Qwen/Qwen2-7B,7.6,14.19
EleutherAI/pythia-1b,1.1,3.89
Qwen/Qwen1.5-1.8B,1.8,3.42
Qwen/Qwen3-8B-FP8,8.2,8.79
kyutai/helium-1-2b,2.0,3.77
Qwen/Qwen1.5-14B,14.2,26.39
bigcode/starcoder2-7b,7.2,13.36
tiiuae/falcon-11B,11.1,20.68
unsloth/Llama-3.2-1B,1.2,2.30
vikhyatk/moondream1,1.9,17.55
SakanaAI/TinySwallow-1.5B,1.5,2.88
Qwen/Qwen3-14B-FP8,14.8,15.21
defog/sqlcoder-7b-2,6.7,17.01
Qwen/Qwen3-Reranker-4B,4.0,7.49
Qwen/Qwen1.5-MoE-A2.7B,14.3,26.67
Qwen/Qwen3-8B-AWQ,2.2,5.68
unsloth/Llama-3.2-3B,3.2,5.98
hmellor/Ilama-3.2-1B,1.2,4.60
pfnet/plamo-2-1b,1.3,4.81
meta-llama/Llama-Guard-3-1B,1.5,2.79
EleutherAI/gpt-neo-2.7B,2.7,19.88
mlabonne/NeuralMonarch-7B,7.2,13.49
unsloth/Qwen3-8B,8.2,15.26
Qwen/Qwen3-30B-A3B-GPTQ-Int4,4.7,15.77
NousResearch/Llama-3.2-1B,1.2,2.30
EleutherAI/pythia-1.4b,1.5,5.46
omni-research/Tarsier-7b,7.1,13.16
Qwen/Qwen2.5-Coder-3B,3.1,5.75
Qwen/Qwen2.5-Coder-7B,7.6,14.19
bigscience/bloom-1b7,1.7,6.42
open-thoughts/OpenThinker3-7B,7.6,14.19
microsoft/Phi-4-mini-reasoning,3.8,7.15
EleutherAI/pythia-6.9b,7.0,25.80
trillionlabs/Tri-7B,7.5,28.04
EleutherAI/gpt-neox-20b,20.7,76.92
tiiuae/falcon-mamba-7b,7.3,13.55
ibm-research/PowerLM-3b,3.5,13.08
google/txgemma-9b-predict,9.2,34.43
UnfilteredAI/NSFW-3B,2.8,12.94
Qwen/Qwen-7B,7.7,14.38
Qwen/Qwen3-Reranker-8B,8.2,15.25
EleutherAI/pythia-2.8b,2.9,10.59
Qwen/Qwen1.5-4B,4.0,7.36
EleutherAI/polyglot-ko-1.3b,1.4,5.15
microsoft/Phi-4-mini-flash-reasoning,3.9,7.18
bigscience/bloom-3b,3.0,11.19
01-ai/Yi-6B,6.1,22.58
CohereLabs/aya-23-8B,8.0,14.95
bigscience/bloom-1b1,1.1,3.97
open-thoughts/OpenThinker-7B,7.6,14.19
meta-llama/LlamaGuard-7b,6.7,12.55
Qwen/QwQ-32B-AWQ,5.7,18.00
Qwen/Qwen3-4B-Thinking-2507-FP8,4.4,4.83
microsoft/Magma-8B,8.9,16.58
eldogbbhed/Peagle-9b,9.0,16.74
01-ai/Yi-9B-200K,8.8,16.45
bigscience/bloom-7b1,7.1,26.33
Fastweb/FastwebMIIA-7B,7.4,13.77
microsoft/phi-1,1.4,2.64
mlabonne/AlphaMonarch-7B,7.2,13.49
microsoft/Phi-4-reasoning-plus,14.7,27.31
unsloth/llama-3-8b,8.0,14.96
shadowml/BeagSake-7B,7.2,13.49
01-ai/Yi-1.5-9B,8.8,16.45
01-ai/Yi-6B-200K,6.1,22.58
Qwen/Qwen3-4B-Thinking-2507,4.0,7.49
EleutherAI/pythia-1b-deduped,1.1,3.89
bigscience/bloomz-7b1,7.1,26.33
01-ai/Yi-9B,8.8,16.45
lex-hue/Delexa-7b,7.2,13.49
trillionlabs/Tri-21B,20.7,77.21
DAMO-NLP-SG/VideoLLaMA3-2B,2.0,3.65
microsoft/llava-med-v1.5-mistral-7b,7.6,14.09
01-ai/Yi-1.5-6B,6.1,11.29
microsoft/maira-2,6.9,25.63
vicgalle/CarbonBeagle-11B,10.7,19.99
bigscience/bloomz-3b,3.0,11.19
vicgalle/ConfigurableBeagle-11B,10.7,19.99
abacusai/bigyi-15b,15.1,28.05
bigcode/starcoder2-15b,16.0,59.45
google/codegemma-2b,2.5,4.67
abacusai/bigstral-12b-32k,12.5,23.24
automerger/YamshadowExperiment28-7B,7.2,13.49
kaist-ai/janus-7b,7.2,40.47
Almawave/Velvet-2B,2.2,4.14
microsoft/Phi-4-reasoning,14.7,27.31
dicta-il/dictalm2.0,7.3,13.51
LumiOpen/Viking-7B,7.6,14.06
meta-llama/Meta-Llama-Guard-2-8B,8.0,14.96
meta-llama/Llama-Guard-3-8B-INT8,8.0,8.46
zhibinlan/LLaVE-2B,1.9,3.62
willcb/Qwen3-4B,4.0,7.49
Qwen/Qwen-1_8B,1.8,3.42
Qwen/Qwen3-1.7B-FP8,2.0,2.47
EleutherAI/pythia-12b,12.0,44.41
tiiuae/Falcon3-1B-Base,1.7,3.11
meta-llama/CodeLlama-7b-hf,6.7,25.10
tiiuae/Falcon3-7B-Base,7.5,13.89
GSAI-ML/LLaDA-1.5,8.0,14.93
ReDiX/Artemide-3.5,3.8,7.12
Qwen/Qwen3-4B-FP8,4.4,4.83
Deci/DeciLM-7B,7.0,13.12
bigscience/bloomz-1b1,1.1,3.97
EleutherAI/pythia-2.8b-deduped,2.9,10.59
zai-org/glm-4-9b,9.4,17.51
SanjiWatsuki/Sonya-7B,7.2,13.49
unsloth/SmolLM3-3B,3.1,5.73
Qwen/Qwen-14B,14.2,26.39
willcb/Qwen3-8B,8.2,15.26
AIDC-AI/Ovis2-2B,2.5,4.58
EleutherAI/polyglot-ko-5.8b,6.0,22.14
Qwen/Qwen2.5-Coder-14B,14.8,27.51
willcb/Qwen3-14B,14.8,27.51
huggyllama/llama-13b,13.0,48.49
Alphatao/Affine-9711767,8.2,15.26
google/codegemma-7b,8.5,15.90
openbmb/MiniCPM4-8B,8.2,15.25
unsloth/gemma-2b,2.5,4.67
Alphatao/Affine-5956831,8.2,15.26
Qwen/Qwen-Audio,8.4,15.64
tiiuae/Falcon3-3B-Base,3.2,6.01
KnutJaegersberg/deacon-13b,13.0,48.49
EleutherAI/polyglot-ko-12.8b,13.1,48.35
unsloth/Llama-3.1-8B,8.0,14.96
asafaya/kanarya-2b,2.1,7.66
rinna/youri-7b,6.7,25.10
Alphatao/Affine-1855255,8.2,15.26
open-thoughts/OpenThinker2-7B,7.6,14.19
google/txgemma-2b-predict,2.6,9.74
ZhangShenao/Llama-3.2-3B,3.2,5.98
lmms-lab/LongVA-7B,7.9,14.78
google/shieldgemma-2b,2.6,4.87
bigscience/bloomz-7b1-mt,7.1,26.33
unsloth/Qwen2.5-7B,7.6,14.19
StanfordAIMI/CheXagent-2-3b,3.1,11.70
tomg-group-umd/huginn-0125,3.9,14.57
unsloth/llama-2-7b,6.7,12.55
allenai/OLMo-7B,6.9,51.32
Almawave/Velvet-14B,14.1,26.23
KnutJaegersberg/deacon-3b,3.4,12.76
sarvamai/sarvam-1,2.5,4.70
HuggingFaceM4/idefics-9b,8.9,66.53
unsloth/gemma-7b,8.5,15.90
tiiuae/Falcon-H1-3B-Base,3.1,5.87
tiiuae/Falcon3-10B-Base,10.3,19.20
bigscience/bloomz-1b7,1.7,6.42
PygmalionAI/pygmalion-2-13b,13.0,48.49
facebook/xglm-4.5B,5.1,18.91
BSC-LT/salamandra-2b,2.3,4.20
Alphatao/Affine-9459823,8.2,15.26
unsloth/gemma-2-9b,9.2,17.21
PygmalionAI/mythalion-13b,13.0,48.49
OEvortex/EMO-2B,2.5,4.67
Alphatao/Affine-2501551,8.2,15.26
Sakalti/Saka-14B,14.8,27.50
Jayant9928/tnayajv2.0,8.0,14.96
winglian/mistral-11b-128k,10.7,19.99
PygmalionAI/pygmalion-2-7b,6.7,25.10
nlpai-lab/KULLM3,10.7,19.99
kormo-lm/KORMo-1B,1.3,2.46
Alphatao/Affine-2333827,8.2,15.26
PygmalionAI/pygmalion-1.3b,1.5,5.46
tiiuae/Falcon-H1-1.5B-Base,1.6,2.90
beomi/KoRWKV-6B,6.5,24.34
KnutJaegersberg/webMistral-7B,7.2,13.64
DAMO-NLP-SG/VideoLLaMA2-7B,8.0,14.97
Motif-Technologies/Motif-2.6B,2.6,9.68
FinancialSupport/saiga-7b,7.2,13.49
stockmark/stockmark-13b,13.2,24.59
suayptalha/Lamarckvergence-14B,14.8,27.50
google/shieldgemma-9b,9.2,17.21
ricdomolm/lawma-8b,8.0,14.96
Alphatao/Affine-1901852,8.2,15.26
allenai/OLMo-1B,1.2,8.77
simplescaling/s1.1-14B,14.8,55.02
DISLab/SummLlama3.2-3B,3.2,5.98
Qwen/Qwen3-8B-MLX-bf16,8.2,15.26
Qwen/CodeQwen1.5-7B,7.3,13.50
Deci/DeciCoder-1b,1.1,2.07
unsloth/gemma-2-2b,2.6,4.87
PygmalionAI/metharme-1.3b,1.5,5.46
futurehouse/ether0,23.6,87.82
acrastt/Marx-3B,3.4,12.76
GeneZC/MiniMA-3B,3.0,11.25
athirdpath/Hestia-20b,20.0,37.24
GeneZC/MiniMA-2-3B,3.0,11.25
occultml/Helios-10.7B,7.2,13.49
athirdpath/Harmonia-20B,20.0,37.24
gagan3012/MetaModelv2,10.7,19.99
gagan3012/MetaModelv3,10.7,19.99
athirdpath/CleverGirl-20b,20.0,37.24
Undi95/Emerhyst-20B,20.0,37.24
simplescaling/s1.1-7B,7.6,28.37
FreedomIntelligence/Apollo-2B,2.5,9.34
mlabonne/NeuralMarcoro14-7B,7.2,13.49
acrastt/Puma-3B,3.4,12.76
Undi95/UtopiaXL-13B,13.0,24.24
Undi95/Utopia-13B,13.0,24.24
fla-hub/transformer-1.3B-100B,1.4,2.54
acrastt/Bean-3B,3.4,12.76
ceadar-ie/FinanceConnect-13B,13.0,24.24
mlabonne/Beagle14-7B,7.2,13.49
acrastt/OmegLLaMA-3B,3.4,12.76
leveldevai/TurdusBeagle-7B,7.2,13.49
BSC-LT/salamandra-7b,7.8,14.47
google/codegemma-1.1-2b,2.5,4.67
bigcode/starcoderbase-7b,7.5,56.09
acrastt/Griffin-3B,3.4,12.76
TIGER-Lab/TIGERScore-13B,13.0,24.24
Menlo/Lucy-128k,1.7,3.20
mhenrichsen/gemma-2b,2.5,4.67
hakurei/mommygpt-3B,3.4,12.76
Alphatao/Affine-5246433,8.2,15.26
unsloth/Qwen2.5-3B,3.1,5.75
Envoid/Yousei-22B,21.8,41.45
tavtav/Rose-20B,20.0,37.24
Ba2han/Tinypus-1.5B,1.5,2.71
launch/ThinkPRM-1.5B,1.8,3.31
teilomillet/Potato-3B,3.0,5.63
QCRI/Fanar-1-9B,9.2,17.22
TinyPixel/testmodel2,6.7,25.10
teilomillet/MiniMerlin-3B,3.0,5.63
unsloth/Qwen2-7B,7.6,14.19
NeverSleep/Nethena-13B,13.0,24.24
nnpy/Nape-0,1.1,4.10
Qwen/Qwen2-Math-1.5B,1.5,2.88
NeverSleep/Nethena-20B,20.0,37.24
FreedomIntelligence/Apollo-6B,6.1,22.58
scb10x/typhoon-7b,7.3,27.08
KnutJaegersberg/Deacon-20B,20.1,37.42
TinyPixel/testmodel-3,6.7,25.10
KnutJaegersberg/Deacon-1b,1.1,4.10
FreedomIntelligence/Apollo-7B,8.5,31.81
Changlong1/ttLlama-7b,6.7,12.85
Kooten/DaringMaid-20B,20.0,37.24
tiiuae/Falcon-H1-1.5B-Deep-Base,1.6,2.90
Ppoyaa/Lumina-3.5,18.5,34.49
Devio/test-3b,3.5,13.04
jebcarter/Psyfighter-13B,13.0,24.24
Devio/test2,21.8,81.32
tiiuae/Falcon-H1-7B-Base,7.6,14.13
Devio/test-22B,21.8,162.63
thhaus/nemotron3-8b,8.5,15.91
chargoddard/storytime-13b,13.0,24.85
OpenLLM-France/Lucie-7B,6.7,12.49
unsloth/codegemma-7b,8.5,15.90
EleutherAI/polyglot-ko-3.8b,3.9,14.44
Walmart-the-bag/MysticFusion-13B,13.0,24.24
susnato/phi-2,2.8,5.18
HelpingAI/HelpingAI2-9B,8.9,22.36
vilm/vinallama-2.7b,2.8,10.34
meta-llama/CodeLlama-7b-Python-hf,6.7,25.10
mlfoundations/tabula-8b,8.0,29.92
BramVanroy/fietje-2,2.8,5.18
TheFinAI/Fino1-8B,8.0,14.96
PhysicsWallahAI/Aryabhata-1.0,7.6,28.37
google/recurrentgemma-2b,2.7,9.99
Kooten/DaringMaid-13B,13.0,24.24
Danielbrdz/Barcenas-10.7b,10.7,19.99
ConvexAI/BurningBruce-003,24.2,44.99
AstroMLab/AstroSage-8B,8.0,14.96
unsloth/codellama-7b,6.7,12.55
unsloth/phi-2,2.8,5.18
rinna/nekomata-14b,14.2,52.78
rinna/nekomata-7b,7.7,28.76
psx7/llama4B,4.5,12.88
Q-bert/Optimus-7B,7.2,13.49
shadowml/Daredevil-7B,7.2,13.49
Q-bert/Terminis-7B,7.2,13.49
Alphatao/Affine-7470548,8.2,15.26
Q-bert/Bumblebee-7B,7.2,13.49
togethercomputer/M1-3B,3.4,6.42
utter-project/EuroLLM-9B,9.2,34.10
nlpguy/ColorShadow-7B,7.2,13.49
Weyaxi/Seraph-7B,7.2,13.49
arcee-ai/AFM-4.5B,4.6,8.60
Azazelle/Maylin-7b,7.2,13.49
team-lucid/mptk-1b,1.3,9.77
Mihaiii/Metis-0.3,7.2,13.49
unsloth/SmolLM-1.7B,1.7,3.19
Undi95/Clover3-17B,16.8,31.36
Qwen/Qwen2-Math-7B,7.6,14.19
JunxiongWang/M1-3B,3.4,6.42
viethq188/LeoScorpius-7B,7.2,13.49
cookinai/OpenCM-14,7.2,13.49
cookinai/CatMacaroni14,7.2,13.49
cookinai/CM-14,7.2,13.49
RUCKBReasoning/TableLLM-7b,6.7,12.55
UBC-NLP/toucan-1.2B,1.2,4.58
bigscience/bloom-1b1-intermediate,1.1,3.97
mlabonne/NeuralQuant-9B,9.0,16.74
open-r1/OlympicCoder-7B,7.6,14.19
Gryphe/MythoMist-7b,7.2,13.49
ByteWave/Cheus-11B,10.7,19.99
EleutherAI/pythia-2.8b-v0,2.9,10.59
Rakuten/RakutenAI-7B,7.4,27.47
microsoft/NextCoder-7B,7.6,28.37
sohohuk/test1,7.2,13.49
AtAndDev/CapybaraMarcoroni-7B,7.2,13.49
Model-SafeTensors/trurl-2-13b,13.0,48.49
EleutherAI/pythia-2.8b-deduped-v0,2.9,10.59
ViraIntelligentDataMining/PersianLLaMA-13B,13.3,24.81
EleutherAI/pythia-1b-v0,1.1,3.89
EleutherAI/pythia-1b-deduped-v0,1.1,3.89
unsloth/codegemma-2b,2.5,4.67
zhangchenxu/TinyV-1.5B,1.5,5.75
beomi/kollama-13b,13.2,49.25
lzw1008/Emollama-7b,6.7,12.55
DevWorld/Gemago-2b,2.5,4.67
EleutherAI/pythia-1.4b-deduped-v0,1.5,5.46
squeeze-ai-lab/TinyAgent-1.1B,1.1,4.10
unsloth/Qwen2.5-14B,14.8,27.51
SanjiWatsuki/Kunoichi-7B,7.2,13.49
beberik/Nyxene-11B,10.7,19.99
UnfilteredAI/UNfilteredAI-1B,1.1,1.97
metagene-ai/METAGENE-1,6.5,24.16
venkycs/Zyte-1B,1.1,2.05
microsoft/rho-math-1b-interpreter-v0.1,1.1,2.05
simplescaling/s1.1-3B,3.4,12.66
microsoft/rho-math-1b-v0.1,1.1,4.10
RUCKBReasoning/TableLLM-13b,13.0,24.24
Walmart-the-bag/Misted-7B,7.2,13.49
abideen/NexoNimbus-7B,7.2,13.49
PotatoOff/HamSter-0.1,7.2,13.49
beberik/Lonepino-11B,10.7,19.99
fla-hub/gla-1.3B-100B,1.4,2.54
facebook/KernelLLM,8.0,14.96
unsloth/llama-2-13b,13.0,24.24
flemmingmiguel/DareBeagle-7B,7.2,13.49
leveldevai/MBA-7B,7.2,13.49
mlabonne/Daredevil-7B,7.2,13.49
alnrg2arg/test2,7.2,13.49
pfnet/plamo-13b,13.1,24.40
sail/Sailor2-8B,8.5,15.92
flemmingmiguel/MarcMistral-7B,7.2,13.49
PotatoOff/HamSter-0.2,7.2,13.49
shadowml/DareBeagle-7B,7.2,13.49
leveldevai/MarcDareBeagle-7B,7.2,13.49
FelixChao/Severus-7B,7.2,13.49
leveldevai/TurdusDareBeagle-7B,7.2,13.49
leveldevai/MarcBeagle-7B,7.2,13.49
AISimplyExplained/Vakil-7B,3.9,3.84
FelixChao/Voldemort-10B,10.7,19.99
andrijdavid/macaroni-7b,7.2,13.49
flemmingmiguel/MBX-7B,7.2,13.49
leveldevai/BeagleMist-7B,7.2,13.49
BarryFutureman/NeuralTurdusVariant1-7B,7.2,13.49
FelixChao/Sirius-10B,10.7,19.99
zai-org/agentlm-13b,13.0,24.25
senseable/Westlake-7B,7.2,13.49
FelixChao/WestSeverus-7B,7.2,13.49
tiiuae/falcon-rw-7b,7.8,28.99
flemmingmiguel/MDBX-7B,7.2,13.49
jhu-clsp/rank1-7b,7.6,14.19
eci-io/climategpt-7b,6.7,12.55
AI-Sweden-Models/Llama-3-8B,8.0,14.96
medicalai/MedFound-7B,7.1,13.17
hardlyworking/Sugma4B,4.0,22.48
LLM360/guru-7B,7.6,28.37
oumi-ai/HallOumi-8B,8.0,14.96
ZhangShenao/Llama-3.2-1B,1.2,2.30
jetmoe/jetmoe-8b,8.5,15.87
Deci/DeciLM-6b,5.7,10.65
anonymous4chan/llama-2-13b,13.0,72.73
LumiOpen/Viking-13B,14.0,26.13
StanfordAIMI/RadLLaMA-7b,6.7,25.10
Alphacode-AI/Alphallama3-8B,8.0,14.96
pfnet/plamo-2-8b,9.1,33.97
kyx0r/Neona-12B,12.2,22.81
eryk-mazus/polka-1.1b,1.1,4.28
vicgalle/ConfigurableSOLAR-10.7B,10.7,19.99
genne/eclectus1.1,10.7,19.99
algograp-Inc/algograpV4,10.8,40.25
EQUES/JPharmatron-7B,7.6,28.37
sardinelab/xTower13B,13.0,24.24
igig98/ppo2,12.9,24.02
Cartinoe5930/KoRAE-13b,13.2,24.52
wisenut-nlp-team/Wisedom-8B,8.0,14.96
mhenrichsen/gemma-7b,8.5,15.90
roy113/lamma-3.2-1B,1.2,2.30
cjvt/GaMS-1B,1.5,5.74
microsoft/MediPhi-Clinical,3.8,7.12
HuggingFaceTB/cosmo-1b,1.7,6.49
bczhou/TinyLLaVA-2.0B,2.0,3.82
microsoft/kosmos-2.5,1.4,5.12
Qwen/Qwen3-1.7B-MLX-bf16,1.7,3.20
facebook/layerskip-llama3-8B,8.0,29.92
tomaszki/gemma-3,2.5,4.67
StanfordAIMI/CheXagent-8b,8.4,31.15
MiniMaxAI/SynLogic-7B,7.6,14.19
THUdyh/Ola-7b,8.9,16.80
unsloth/mistral-7b,7.2,13.49
sail/Sailor-1.8B,1.8,3.42
Doctor-Shotgun/TinyLlama-1.1B-32k,1.1,4.10
Value4AI/ValueLlama-3-8B,8.0,14.96
NousResearch/Genstruct-7B,7.2,13.49
yasserrmd/MedScholar-1.5B,1.5,2.88
meta-llama/CodeLlama-13b-hf,13.0,48.79
nyu-visionx/cambrian-8b,8.3,31.04
yam-peleg/Experiment29-7B,7.2,13.49
microsoft/MediPhi-PubMed,3.8,7.12
PrimeIntellect/INTELLECT-1,10.2,19.02
Heralax/MythoMakiseMerged-13b,13.0,82.55
microsoft/MediPhi-MedCode,3.8,7.12
HelpingAI/HelpingAI2.5-10B,10.2,19.02
nvidia/NFT-7B,7.6,14.19
apple/OpenELM-3B,3.0,11.31
KurmaAI/AQUA-7B,7.2,13.50
TechxGenus/CodeGemma-2b,2.5,4.67
cjvt/GaMS-2B,3.2,11.94
0x0daughter1/g11c,2.5,4.67
EleutherAI/deep-ignorance-pretraining-stage-strong-filter,6.9,12.77
alpindale/gemma-2b,2.5,4.67
facebook/layerskip-llama2-7B,6.7,25.10
gustavecortal/Piaget-8B,8.2,15.26
WisdomShell/CodeShell-7B,7.7,14.32
bczhou/TinyLLaVA-1.5B,1.5,5.60
facebook/layerskip-llama3.2-1B,1.2,4.60
SparseLLM/ReluLLaMA-7B,6.7,50.21
cwyoon99/CompAct-7b,7.2,13.49
bigscience/bloom-7b1-intermediate,7.1,26.33
yamatazen/LorablatedStock-12B,12.2,22.81
sarvamai/sarvam-0.5,2.5,4.67
microsoft/phi-2-pytdml,2.8,5.18
microsoft/NextCoder-14B,14.8,55.02
cjvt/GaMS-9B,9.2,34.43
WestlakeNLP/DeepReviewer-14B,14.7,27.31
zai-org/agentlm-7b,6.7,12.56
fla-hub/mamba-1.3B-100B,1.3,2.49
SkunkworksAI/phi-2,2.8,20.71
microsoft/MediPhi,3.8,7.12
silx-ai/TARS-1B,1.0,3.76
puwaer/Doujinshi-1.8b,1.9,3.48
lt-asset/nova-1.3b,1.3,2.51
SakanaAI/RLT-7B,7.6,14.19
Gen2B/HyGPT-10b,10.2,18.92
lexu14/porpoise1,3.8,7.12
WestlakeNLP/DeepReviewer-7B,7.6,14.19
Ricky06662/TaskRouter-1.5B,1.8,3.31
PygmalionAI/Pygmalion-3-12B,12.2,22.81
mbakar3/Llama-3.2-1B,1.2,2.30
MysteriousAI/Mia-1B,1.1,4.10
fla-hub/mamba-2.7B-100B,2.7,5.08
HelpingAI/HelpingAI-3,10.3,19.20
mPLUG/TinyChart-3B-768,3.2,11.88
d-matrix/gemma-2b,2.5,4.67
qnguyen3/nanoLLaVA-1.5,1.1,1.96
FINGU-AI/RomboUltima-32B,17.6,19.24
davidkim205/Hunminai-1.0-12b,12.2,22.70
Sayan01/Gemma-1B,1.2,2.21
Jacaranda/UlizaLlama3,8.0,14.96
le723z/Rearank-7B,7.6,14.19
AImused/cold43,16.7,31.08
lxcorp/lambda-1v-1B,1.1,4.10
RussRobin/SpatialBot-3B,3.2,5.93
zhibinlan/LLaVE-7B,8.0,14.96
ToheartZhang/JiuZhang3.0-7B,7.2,26.98
TIGER-Lab/MAmmoTH2-7B,7.2,13.49
Iker/Neurona-2b,2.5,4.67
SkunkworksAI/tinyfrank-1.4B,1.4,8.45
theprint/ReWiz-7B,7.2,61.28
mm2137/m30,3.2,5.98
Qwen/Qwen3-4B-MLX-bf16,4.0,7.49
TOMFORD79/model17,3.2,5.98
MeiKing111/V57,3.4,6.32
MrRobotoAI/A5,8.0,14.96
AImused/cold49,16.7,31.08
NECOUDBFM/Jellyfish-8B,8.0,14.96
launch/ThinkPRM-14B,14.8,27.51
juhw/q4102,3.2,5.98
AImused/cold41,16.7,31.08
ura-hcmut/GemSUraV-2B,2.8,5.25
Qwen/Qwen3-14B-MLX-bf16,14.8,27.51
MrRobotoAI/A6,8.0,14.96
YangyiYY/SOLO-7B,7.3,13.53
Shengkun/DarwinLM-4.6B,4.6,17.17
AstraMindAI/AstraQuasar-4B,4.7,17.68
AImused/cold45,16.7,31.08
YanweiLi/MGM-7B,7.3,13.53
DAMO-NLP-SG/VideoRefer-7B,8.4,15.71
JEJUMA/JEJUMA-002,8.0,14.96
meta-llama/CodeLlama-13b-Python-hf,13.0,48.79
mlabonne/Llama-3-12B,11.5,36.42
juhw/q487,3.2,5.98
bezzam/Llasa-1B,1.4,2.55
bczhou/TinyLLaVA-3.1B,3.2,11.87
smartguy0505/Affine-123458,8.2,15.26
mlabonne/Daredevil-8B,8.0,14.96
Lienid/gemima-2,2.5,4.67
ermu2001/pllava-13b,13.5,25.06
PhilipC/HumanOmniV2,8.9,16.64
internlm/OREAL-7B,7.6,14.19
EleutherAI/deep-ignorance-e2e-extra-weak-filter,6.9,12.77
liyinghong/BioQwen-1.8B,1.8,3.42
yamatazen/EsotericSage-12B,12.2,22.81
kifai/GECKO-7B,6.7,12.55
sail/Sailor2-14B,14.4,26.90
MrRobotoAI/A4,8.0,14.96
ToheartZhang/JiuZhang3.0-8B,8.0,29.92
MrRobotoAI/L1,8.0,14.96
launch/ThinkPRM-7B,7.6,14.19
Shengkun/DarwinLM-8.4B,8.4,31.31
Entropicengine/DarkTriad-24b,23.6,43.91
RedHatAI/phi-4,14.7,27.31
sail/Sailor2-20B,19.2,35.71
